symbol,name,price_usd,change_abs,change_pct,market_cap_usd,volume_24h_usd,volume_since0_usd,total_volume_all_24h,circulating_supply,vol_ratio,price_usd_log,market_cap_log,volume_24h_log,node_id,degree_centrality,pagerank
BTC-USD,Bitcoin USD,27921.96,-101.17,-0.0036,540056000000.00006,10068000000.0,10068000000.0,10068000000.0,19342000.0,0.018642511146992162,10.23720456844886,24.595684135197164,21.650434217181623,0,0.0022943297279580466,0.00033058774785195107
ETH-USD,Ethereum USD,1838.81,-29.01,-0.0155,221499000000.0,5859000000.0,5859000000.0,5859000000.0,120458000.0,0.026451586688878957,7.517417584401695,24.595684135197164,21.650434217181623,1,0.0022943297279580466,0.0003401681946305387
USDT-USD,Tether USD,1.0004,0.0,0.0,80240000000.0,18796000000.0,18796000000.0,18796000000.0,80211000000.0,0.23424725822532402,0.6933471605626116,24.595684135197164,21.650434217181623,2,0.0019665683382497543,0.00031134942812255796
BNB-USD,BNB USD,310.8,-1.55,-0.005,49072000000.0,460394000.0,460394000.0,460394000.0,157887000.0,0.009382010107597,5.742361956623676,24.595684135197164,19.947593204753176,3,0.0032776138970829235,0.0004210258268051
USDC-USD,USD Coin USD,0.9997,-0.0001,-0.0001,32592000000.0,2389000000.0,2389000000.0,2389000000.0,32600000000.0,0.07330019636720668,0.6929971693088202,24.207332696461542,21.594140705708668,4,0.0029498525073746312,0.0004407756745090919
XRP-USD,XRP USD,0.502372,-0.007247,-0.014199999999999999,25967000000.0,565590000.0,565590000.0,565590000.0,51688000000.0,0.02178110678938653,0.4070451924504829,23.980092338081597,20.15337999381894,5,0.002622091117666339,0.00039517740204310993
ADA-USD,Cardano USD,0.3888,0.0011,0.002807,13517000000.0,197578000.0,197578000.0,197578000.0,34762000000.0,0.014617000813790042,0.32844006492394867,23.327213989522082,19.10164400610863,6,0.0016388069485414618,0.00026114191223687756
HEX-USD,HEX USD,0.0711,0.0011,0.015203,12336000000.0,6016000.0,6016000.0,6016000.0,173411000000.0,0.0004876783398184176,0.06868615778844692,23.235787653848448,15.609933310835203,7,0.0016388069485414618,0.00026673436274304456
DOGE-USD,Dogecoin USD,0.0834,0.0002,0.0025,11582000000.0,489325000.0,489325000.0,489325000.0,138868000000.0,0.04224874805733034,0.08010424424166145,23.17271800583635,20.008537450396492,8,0.0019665683382497543,0.0002904738049603013
STETH-USD,Lido Staked ETH USD,1820.71,-35.33,-0.019,10798000000.0,44878000.0,44878000.0,44878000.0,5931000.0,0.004156140025930728,7.50753089939977,23.102626768835115,17.619458277188517,9,0.0022943297279580466,0.0003288901272468799
MATIC-USD,Polygon USD,1.0911,-0.0226,-0.0203,9999000000.0,161520000.0,161520000.0,161520000.0,9164000000.0,0.016153615361536155,0.7376902433106169,23.025750925040132,18.90013953816004,10,0.002622091117666339,0.00032972549792892363
SOL-USD,Solana USD,20.14,-0.34,-0.016399999999999998,7812000000.0,198203000.0,198203000.0,198203000.0,387939000.0,0.025371607782898105,3.051166980442092,22.77892685008885,19.104802321016976,11,0.0022943297279580466,0.0003076849416575219
